eNodeB,Forecast Bias,R-sqr,MAE,RMSE,MAPE
RPSDR10,-42.58370303134121,-1.176186809448971,53.94559577461083,58.37525499090672,15.178114809806539
NPSDP02,12.267992834409075,-0.0376467632612858,30.71818857765198,59.03633582069486,7.038259507042039
GBGBD08,61.473914673676084,-3.278378530459219,61.556681230376164,70.70419396959818,19.30288707521555
RPSDR93,-9.11073927116392,-0.14875690507429562,16.671435194333377,23.63511755356711,7.4393468880971705
KGULP01,40.995080917000784,-1.6775963282495723,43.83824353206158,51.95126417834438,15.808878849744115
RPSDR08,-0.2207274255156752,0.0006829795300353769,22.214620385944844,45.6797569682651,5.2528209162965
NPSDP16,1.1743457000255495,0.014610493786492929,9.432550468603768,13.69697379067587,7.1856257029205475
NPSDP05,-0.46619033201534704,0.00030745420368627485,17.339907304366427,25.718917956294298,6.201420950392478
RPSDR65,16.631361855844634,-0.12532318597284542,25.174961082239943,47.08181926944078,5.648299387947593
PGTTL03,-6.5765448333819885,-0.029452550413047174,22.750079578836758,35.51889992151233,6.534560099773369
NPSDR03,47.65213539048034,-0.5765913375880556,57.38987038934229,77.57822449955539,13.133749617460902
GBGBD24,-16.874120529929822,-0.3871689064059989,21.9508758988778,26.629447166364073,8.187677975347954
TGSDR09,43.512748024960345,-2.039111697479923,45.45476871977249,55.15942363592962,18.224020768230787
GBPLS12,-14.516422658602396,-0.430536066464299,20.993721982002267,26.584740238329896,8.571058992706556
RPBDG03,-14.96162063952289,-0.07965172449794555,32.85094037934145,50.48282771639309,6.572309630897057
GBSND22,7.769754520098373,-0.3204742425069509,9.808463792483016,15.68435471324635,8.705776799056698
RPSDR77,-22.757440568606054,-2.5859716100726446,25.312368836720783,26.807100102870326,16.46901181360009
RPSDR75,-59.03485473632817,-1.5874421902359463,69.9277603352865,75.61306629766679,13.094198366592252
RPSDR01,-10.840857471346855,-0.1578330926045899,24.087862417817117,34.694800906425144,7.848199947022081
PGTTL01,9.26729746220507,-0.12208253755261556,17.870959060251707,27.648676321660897,6.473072283153619
RPSDR14,8.018834051171952,-0.1573718748080115,15.622025453766186,26.506030047770835,5.507895282271673
DPSDR10,-16.912326742251704,-0.3929331107237255,23.772877824187276,30.16355070263445,14.147990972484553
TGRSN01,13.929366508245446,-0.12892951017000853,23.540591841657942,41.002770000104505,5.555548567654358
DPBRL03,-14.024285576283923,-0.7782829227486447,17.781526744425296,21.195840117547736,12.14166775848347
RPPGN16,10.42580555474758,-0.12063353576567337,23.76207255955537,32.07462416577053,9.841814987279793
RPSDR39,-77.4568039940397,-4.845878857230654,80.77533918720482,85.22515418403725,20.054743262312684
NPSDP03,-4.045662322402012,-0.06367735628628712,11.039246894160915,16.41244642095666,8.29399576916706
KGULP02,-41.76894170518714,-1.8490227180572534,47.12838494606811,51.66898299300935,15.81777531188667
RPSDR60,-3.8981254868706143,-0.047614220816499575,19.42203879966339,30.117515804582403,5.680734293729834
KGFLB01,-17.846723931193377,-0.36717371443682145,27.167652988076224,34.51300159996191,9.318094784701504
DPFLB01,24.739658668041255,-0.19999842600509,35.840550702889765,60.502421520109266,8.742187934495698
PGATR07,5.1511124718983865,-0.10139144524157673,7.935482792536414,16.62631245946808,7.751145863473084
LMADT01,-24.613412867426838,-0.25921829789369966,49.366834821661286,63.80094718020505,8.619794129159668
RPTRG07,-17.180602248986563,-0.42789234644989493,22.641882587432864,30.85379772202219,12.025745649370062
RPTRG04,-11.89518267639476,-0.07772026153188105,19.859249691843978,26.56131414048843,7.524778915439264
KGULP08,-19.66933032099407,-0.16943306587840024,39.46402407487234,48.985605742900766,12.655262023834815
GBGBD21,-1.4753343534469632,0.012056170167651703,9.115046621004744,13.51180448823151,6.99261597245996
RPPGN06,-33.61054658846059,-1.322223180804392,36.40463724648952,45.282477326332234,12.699724991915426
GBPLS06,-1.382477450748277,-0.009492842122562184,7.8190192563732435,15.208055874999909,8.05158598616079
GBSND14,-3.094608399609733,-0.04354173881508672,9.381420177161697,14.89731226488914,7.204091333176291
PGSDR21,-2.653104739745477,0.014818286458785246,15.576521140654885,21.923320089480875,6.299804890468598
KGRJR07,34.46391054352124,-1.6387575851501355,36.32196131412188,44.02196622669427,11.487003670395834
DPBRG15,-12.670672573010116,-0.16126910494951208,27.898019797245656,32.501792295297854,17.864472189243116
DPKHN06,-11.940668377538508,-1.7965046938283638,11.940668377538508,14.771551904184994,7.6120723026169586
KGNGS02,10.415600429733612,-0.40192930300726326,16.96129522776604,23.06343237251543,8.198384279470488
PGSDR01,-7.228329843739687,-0.024573359702728226,25.22444031006099,46.66177285330064,5.318445812941923
GBSDR16,56.447982827325674,-1.0044620961662738,56.72200735857093,79.75199768870074,13.908883891805365
GBPLS05,-51.052002950469685,-4.975809498325244,51.938758165955555,56.586856890362704,19.313044465354963
TGSDR01,3.979767071008692,0.2102138128935932,24.7392129325072,36.60651082281925,8.64357405906824
KGCLM05,-47.34392385932804,-1.9727627096600737,53.58880170860887,59.884228289871295,15.921763552130743
TGRSN02,32.70791135026019,-0.9226639472949669,33.28617346373201,45.40276339579052,11.435469528038972
RPSDR38,34.30798718065019,-0.23531358214960374,40.01057311620311,79.04387673793022,11.432252745074328
DPSDR04,-72.18339333438874,-1.2051548973046162,92.004577829957,97.45653574785827,15.944389972513545
DPKHR01,-34.250345712383556,-0.6626073079801367,43.86239958993592,54.686963150598395,12.200513091468878
PGSDR06,-8.99907639322679,-0.34125030634400955,13.474860201338936,17.90304921618942,10.465409905495052
