eNodeB,Forecast Bias,R-sqr,MAE,RMSE,MAPE
RPSDR10,-13.514766516826766,-0.12231329729730622,30.269032290220384,41.92159115042758,9.27365492027008
NPSDP02,10.943914145359834,-0.03580369117793336,32.751822814454826,58.98388223742367,7.369280450131151
GBGBD08,-17.685407328499206,-0.3036039614807844,27.87308777916562,39.02818979654962,8.43739918504863
RPSDR93,-0.3779209800747234,0.013748616615217535,12.559948039142979,21.899667040051913,5.986966244159118
KGULP01,10.080510620604631,-0.0925878055297642,21.233167880788013,33.18575806466595,7.9420199807351155
RPSDR08,-5.698177255622193,-0.014094508643533343,24.31004676094891,46.01626420931254,5.59447564843111
NPSDP16,-5.852302475717339,-0.19599545017947273,11.254524984217863,15.089867347740352,8.090011237290993
NPSDP05,8.485015905376232,-0.06502452873632847,18.71469305661355,26.54601107439231,6.882070886197686
RPSDR65,-14.977608601308829,-0.10477929589537549,31.275480413955158,46.65007708583242,6.472070872611238
PGTTL03,-21.612348887199122,-0.4133010008704745,31.27732408644091,41.61727812193114,8.507549145759095
NPSDR03,67.05906714672719,-1.1368600787433327,73.26490092791285,90.3167519287353,16.439912974075895
GBGBD24,4.627005134462151,-0.010976199920222918,15.236729801271041,22.733585830808448,6.149641695246954
TGSDR09,21.680733661333793,-0.45706384468627204,28.80909978481769,38.19316766638462,11.717816507886763
GBPLS12,1.1331924723493028,0.0022172503512944974,13.960360325872978,22.20245563694932,6.191173365513528
RPBDG03,-31.028838783616287,-0.386631547025895,44.15790487019387,57.21137296244408,8.493305376495588
GBSND22,1.3309955593655303,-0.00990535395833847,8.002765785391016,13.716459510526189,7.062299708252227
RPSDR77,-10.694744081848533,-0.5469403693286594,14.659350866994867,17.606912223709273,9.885075904141662
RPSDR75,-36.389013687809694,-0.598958477137745,48.891815666299514,59.440179925915004,9.424125888735414
RPSDR01,-2.5221828003249462,-0.027217043813627884,21.198140460309407,32.679283721773615,7.15117703711055
PGTTL01,1.4988463253458177,-0.008514252126665012,16.66995571646647,26.21216918671999,5.938030208800311
RPSDR14,-22.998379728825604,-0.8660502125886886,28.75774661096609,33.656572515573025,9.134174801101945
DPSDR10,-23.704221072527602,-0.8620274633550493,26.416001083865876,34.8746914012698,15.323387081782503
TGRSN01,4.953528989480613,-0.0207667590427123,21.07649159079979,38.98908504548807,4.9673082203680465
DPBRL03,-10.327321164207072,-0.4271576267283612,15.179341773199393,18.98830405491868,10.539186302702488
RPPGN16,-18.669705905272902,-0.36645479969673955,29.301414523708512,35.41827486730871,10.982404925210984
RPSDR39,-38.104201224860816,-1.11092888418486,44.28748350864918,51.21293798469193,11.127542754072907
NPSDP03,-6.181756192318127,-0.15535327538523158,12.39607120155846,17.105105780336938,9.065796322715922
KGULP02,17.98358883774177,-0.3543731284095084,25.25912222807132,35.624692262832085,9.726668897707695
RPSDR60,-21.220901196404395,-0.4866870298976005,27.41238905186673,35.87800042301224,7.720714746563437
KGFLB01,8.144699161887395,-0.09238578932389907,20.8106600950567,30.85026525538433,7.8566688977010966
DPFLB01,14.629683945354465,-0.07815392351480921,33.95646642534819,57.348597664188986,8.22355259265421
PGATR07,1.0118223121939727,-0.007545198100140427,8.75619492125959,15.902205348431242,8.119329011944236
LMADT01,-11.111770171893104,-0.041107541547722004,41.77717369374902,58.01287777500944,7.497255589358252
RPTRG07,-21.117639871925917,-0.6656657875695922,23.804009123316025,33.32382367400969,12.464008799624377
RPTRG04,3.3785648375352917,0.0056070816755047215,19.93451976304163,25.513823435706524,8.044509505196558
KGULP08,-31.272242537625946,-0.4452014577100807,47.721142581271494,54.45590670531001,14.641400852137332
GBGBD21,-3.2727622270348644,-0.054201467417439364,10.135237849155029,13.957544915805105,7.5987106414596814
RPPGN06,3.809842196160908,-0.008400503079157629,22.77858454033532,29.839718870711852,8.499985175766815
GBPLS06,2.725955102433633,-0.04854332492224911,7.050563633646555,15.4994135976799,7.701869297838503
GBSND14,-8.128470883073023,-0.31462546543737235,12.653485981394285,16.72068361566922,9.154607891503504
PGSDR21,-15.592236556666625,-0.49036549302236754,21.06460023748623,26.96463506886393,8.128505856807324
KGRJR07,4.332026731574993,-0.027264358613542372,18.453068386655232,27.46697290448074,5.813391300753235
DPBRG15,-19.547452422857482,-0.41471103935535014,28.530557760571238,35.87358219906676,17.419968563182902
DPKHN06,0.6480164848021076,0.005410314797046567,6.1564265071258895,8.80927817164978,4.0271083226484645
KGNGS02,4.368343097071205,-0.1192643973416816,15.245702089956811,20.607591122684564,7.294260157147621
PGSDR01,-7.090865919432952,-0.019402788717866715,25.00603022932648,46.54388321152717,5.280138746119645
GBSDR16,34.02464097702563,-0.354475126937136,38.35098648756071,65.55837246930058,9.943005089564943
GBPLS05,-7.304228495914546,-0.11393896320683905,17.028614119372108,24.431374286342344,6.39962923483695
TGSDR01,36.76684666465079,-0.7950433521956548,38.66122954139538,55.18754050177998,13.692526471840043
KGCLM05,-23.2529017517029,-0.45179466199364593,34.240030108632105,41.84898533855452,10.510116332245074
TGRSN02,-3.604891195306492,-0.030197535545780196,24.96822306126414,33.23463002835483,8.20284328542709
RPSDR38,16.456080748470285,-0.0542578664982154,36.26654631023648,73.0218865840729,10.408996005445577
DPSDR04,-71.34032301078967,-1.1821801156178071,91.3454130177204,96.94752271273398,15.8385031395672
DPKHR01,-25.34738024907796,-0.3564817032666381,36.723685924427144,49.39647231430021,10.42351919767577
PGSDR06,-9.595965372617933,-0.3799656099490796,13.95233371098588,18.1595975792743,10.767484934566566
