RPSDR10,[275.5],[261.66],[294.55],[331.56],[349.21],[323.86],[323.92],[339.39],[324.13],[339.87],[353.53],[317.87],[336.1],[331.1],[343.23],[307.79],[330.68],[307.05],[340.07],[340.89],[313.42],[323.61],[336.37],[336.14],[303.08],[298.42],[319.12],[379.76],[321.74],[308.83],[357.61],[319.79],[345.93],[345.21],[326.68],[341.11],[314.22],[321.39],[315.91],[326.19],[386.62],[356.62],[336.54],[324.13],[329.13],[311.84],[312.29],[318.78],[294.7],[248.01],[222.78],[278.15],[289.85],[314.31],[351.35],[356.97],[339.22],[360.86],[338.06],[332.71],[339.06],[343.63],[340.78],[370.33],[383.01],[341.84],[306.07],[299.78],[319.7],[317.09],[316.1],[318.66],[309.6],[321.83],[305.54],[341.53],[331.32],[320.57],[321.3],[328.38],[351.28],[340.0],[369.31],[369.1],[370.56],[341.82],[365.15],[378.09],[374.83],[375.81],[387.55],[394.23],[381.53],[360.97],[416.34],[386.52],[405.53],[388.08],[384.46],[389.03],[388.79],[419.62],[370.55],[342.54],[345.95],[348.18],[360.64],[367.51],[367.82],[366.11],[378.69],[421.42],[382.55],[385.76],[404.13],[381.3],[375.78],[361.44],[372.49],[380.95],[379.38],[375.07],[389.34],[386.4],[388.66],[360.49],[399.29],[388.41],[416.11],[376.76],[380.01],[398.02],[361.03],[315.67],[307.11],[197.38]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.1323493716157,379.4381171066768,383.6774104306801,380.3740920871149,395.66081630919797,391.83169948363417,384.62296440678034,377.854515521959,387.33090768858534,391.6347375908167,388.239605673967,403.81833659194587,399.88654875128105,392.5064728396716,385.5766816723198,395.2236982705165,399.59206475095334,396.10511926081955,411.9758568746516,407.9413980189348,400.38998127256224,393.29884782265935,403.1164888524026,407.5493919110822,403.9706328476476,420.1333771573964,415.99624728662553,408.2734897054524,401.02101397304244,411.00927943430617
NPSDP02,[484.23],[481.94],[557.15],[539.84],[552.5],[516.56],[506.07],[561.31],[558.14],[556.6],[585.85],[585.59],[578.14],[604.05],[562.26],[510.55],[479.56],[470.35],[471.26],[488.71],[442.89],[500.68],[478.66],[481.95],[489.4],[585.26],[557.05],[570.01],[561.36],[571.83],[614.46],[585.38],[613.91],[605.52],[575.85],[600.57],[612.18],[594.23],[587.23],[572.72],[631.13],[576.92],[510.3],[508.16],[559.49],[568.99],[579.4],[537.81],[506.28],[517.25],[528.6],[557.15],[586.59],[586.24],[549.26],[550.34],[561.2],[528.09],[535.43],[545.8],[563.95],[544.84],[564.83],[553.4],[553.26],[565.24],[567.44],[576.2],[530.95],[578.88],[541.08],[556.15],[542.11],[590.51],[570.63],[562.4],[525.87],[525.7],[525.96],[492.21],[567.62],[543.22],[552.73],[542.02],[553.33],[542.5],[569.77],[576.06],[579.82],[558.5],[630.08],[585.88],[599.67],[599.1],[626.52],[622.66],[588.75],[590.72],[586.7],[615.93],[565.78],[623.89],[593.56],[599.88],[557.62],[547.44],[572.09],[553.95],[564.8],[546.69],[540.98],[562.0],[514.42],[523.27],[539.42],[582.72],[577.62],[534.14],[542.71],[584.95],[581.88],[589.28],[605.21],[578.77],[566.63],[564.43],[575.32],[535.15],[606.25],[567.95],[569.93],[560.62],[516.76],[345.93],[557.92],[349.94]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.2660871806387,577.7448556345229,595.0268492882699,600.6002575483124,586.9188428640663,581.4451575082581,574.9368187579352,574.4883923815698,581.0010813386699,598.3777799506852,603.9798562883459,590.2188030900743,584.7117180988189,578.1642252568288,577.7106975825005,584.2573070428057,601.7287106131006,607.3594550283792,593.5187633161457,587.9782786893797,581.3916317557224,580.9330027834403,587.5135327469646,605.079641275471,610.7390537684315,596.818723542159,591.2448392799607,584.619038254616,584.1553079843618,590.7697584510385
GBGBD08,[272.96],[270.42],[304.54],[324.11],[318.17],[327.14],[282.83],[400.56],[320.39],[363.41],[312.26],[324.76],[322.46],[321.43],[328.2],[314.78],[333.62],[321.56],[339.6],[326.92],[352.69],[331.64],[346.53],[335.33],[335.86],[317.86],[328.57],[332.4],[347.87],[382.43],[390.04],[371.54],[357.43],[375.42],[384.05],[352.59],[364.25],[354.35],[338.34],[309.36],[378.95],[340.18],[341.65],[357.19],[336.1],[355.41],[364.39],[353.13],[383.5],[435.47],[411.25],[462.67],[449.34],[474.93],[495.27],[524.43],[492.62],[483.85],[479.13],[479.41],[484.51],[512.8],[450.99],[441.57],[553.41],[486.36],[414.58],[410.84],[429.89],[424.88],[433.99],[416.41],[415.91],[403.49],[415.33],[411.76],[387.73],[415.44],[410.04],[405.13],[410.34],[414.42],[411.83],[393.31],[371.11],[385.14],[379.63],[422.8],[390.14],[411.38],[357.59],[419.23],[389.25],[398.79],[460.63],[427.71],[433.44],[406.81],[393.3],[419.42],[414.23],[426.19],[391.63],[361.76],[368.7],[336.23],[355.33],[348.36],[349.8],[325.14],[340.71],[329.48],[358.32],[367.02],[360.32],[328.86],[330.99],[318.07],[318.65],[369.67],[344.02],[356.45],[372.51],[346.68],[358.81],[331.46],[362.49],[416.66],[384.31],[387.51],[347.42],[373.08],[363.62],[348.0],[329.34],[204.91]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.18604727545187,398.05000754137404,394.27547685843774,386.8149874242247,394.6034628101671,381.5371716477677,386.11562061509517,392.5032025521762,391.37020606932765,387.64311700704593,380.29245098425986,387.93352877614285,375.07248527649455,379.5574837144402,385.8203578289323,384.6904045973063,381.01075715565423,373.76991454429486,381.26359474213734,368.6077989052371,372.9993468137852,379.13751310566164,378.0106031252359,374.37839730426407,367.2473781043148,374.59366070811745,362.14311253399944,366.4412099131303,372.45466838244306,371.3308016532359
RPSDR93,[174.12],[185.52],[205.76],[242.62],[209.74],[209.39],[202.37],[221.91],[216.99],[223.88],[230.17],[221.09],[222.42],[220.69],[228.2],[203.77],[219.27],[232.7],[230.54],[218.98],[219.31],[222.59],[217.53],[226.9],[232.39],[221.86],[210.52],[224.33],[224.77],[214.75],[221.29],[241.16],[237.32],[241.69],[236.72],[238.91],[235.83],[247.02],[250.08],[225.06],[242.65],[220.27],[209.8],[218.64],[214.06],[223.54],[234.07],[222.51],[206.82],[193.98],[211.2],[194.55],[237.53],[213.25],[206.0],[214.49],[250.82],[234.24],[256.54],[228.37],[240.24],[241.75],[247.42],[235.78],[264.45],[251.7],[221.87],[220.09],[242.24],[251.71],[249.56],[251.05],[232.38],[253.04],[238.59],[260.05],[239.94],[245.18],[229.0],[251.22],[236.98],[240.7],[234.32],[200.45],[244.95],[226.42],[238.84],[244.65],[264.34],[236.11],[245.33],[248.33],[242.03],[264.21],[247.54],[265.05],[250.35],[244.53],[236.44],[244.98],[236.16],[267.48],[241.7],[255.82],[244.68],[239.9],[221.48],[246.26],[264.88],[255.84],[238.97],[254.17],[258.71],[248.51],[250.81],[264.06],[245.14],[256.26],[239.68],[235.46],[257.66],[237.48],[255.17],[241.94],[256.92],[242.33],[246.44],[235.1],[264.24],[252.2],[240.06],[244.05],[278.58],[256.88],[251.48],[143.71]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1627582056586,252.342307480865,259.7292929015247,253.7582617239482,253.1253520291834,247.52775942100493,250.20687553767573,248.61624946755003,254.85381397772983,262.31065017190764,256.2766993404697,255.63395162306304,249.97741586611446,252.67955000456124,251.0697407294529,257.3653204746111,264.8920074422905,258.79513695699114,258.14255121695646,252.42707231123092,255.15222447144663,253.52323199133951,259.87682697145954,267.4733647126546,261.31357457349725,260.6511508108359,254.87672875635025,257.6248989383319,255.97672325325902,262.38833346830995
KGULP01,[285.04],[280.5],[313.7],[308.15],[292.3],[312.01],[288.54],[367.17],[320.67],[327.48],[323.13],[303.37],[304.14],[298.47],[324.47],[298.06],[332.93],[304.71],[311.63],[287.54],[293.3],[335.04],[319.89],[326.02],[328.96],[306.03],[301.93],[316.1],[313.23],[311.98],[353.25],[309.29],[357.22],[337.91],[326.6],[317.25],[374.58],[359.34],[348.18],[364.21],[378.4],[347.98],[342.74],[355.1],[339.17],[323.71],[338.27],[349.87],[353.1],[369.31],[384.72],[417.62],[424.7],[399.98],[446.65],[458.72],[454.99],[457.06],[465.12],[429.4],[408.48],[401.58],[386.28],[402.45],[442.68],[416.14],[353.49],[347.43],[352.73],[356.32],[349.5],[348.31],[362.11],[377.63],[364.66],[375.68],[355.61],[346.93],[345.67],[352.32],[332.13],[351.91],[337.54],[258.74],[358.58],[352.96],[335.84],[362.8],[365.64],[368.58],[377.23],[350.22],[386.55],[367.25],[370.59],[371.31],[352.93],[362.97],[340.84],[346.53],[362.2],[370.57],[328.96],[326.17],[308.13],[311.59],[321.82],[383.24],[296.55],[263.71],[280.15],[285.01],[297.18],[301.2],[301.35],[315.02],[314.87],[288.59],[305.65],[330.83],[322.77],[308.05],[310.96],[279.69],[294.38],[287.62],[304.07],[292.42],[312.73],[316.58],[321.89],[345.12],[320.92],[329.25],[320.28],[182.17]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.7323169417866,348.22058200557314,335.9523611864906,330.95345837507733,331.20117497316045,320.5462925974245,330.49556928196205,335.97112215001965,340.33260240932805,328.31757796146826,323.4077818188878,323.6251746134219,313.1899767141836,322.8859765327526,328.20992735829014,332.4446228131017,320.6827947364458,315.8621052626975,316.0491742536666,305.8336608309345,315.2763837835429,320.4487325665494,324.55664321683906,313.0480115114307,308.3164287064653,308.47317389391105,298.4773449476927,307.66679103433273,312.68753777482993,316.66866362063774
