eNodeB,Group,Distance
GBSND13,1,388.8310262928476
GBSND14,1,132.4110647563599
GBSND15,0,519.9072179971635
GBSND16,1,228.5113815213921
GBSND17,1,258.46110467290197
GBSND18,1,191.45167836182526
GBSND21,1,158.18042278320996
GBSND22,1,111.48016095072163
KGBRM01,0,622.4893499908732
KGBRM03,0,468.9038133880838
KGBRM04,3,1041.7595349281892
KGCLM01,3,628.5979384540765
KGCLM02,1,186.37735154238004
KGCLM05,3,559.0854186088626
KGCLM06,1,719.1414530882738
KGFLB01,0,294.3882832026457
KGFLB03,1,184.98478824930208
KGFLB04,1,581.925576096975
KGFLB05,1,164.18837383702754
KGFLB06,1,241.38312004622276
KGNGS01,3,786.642868040736
KGNGS02,0,361.6131793418822
KGNGS03,1,351.5727265232817
KGNGS09,0,257.8792293177381
KGNGS10,1,298.6176675047718
KGNGS12,1,490.97611589977856
KGNGS14,1,269.26090356226666
KGRJR01,3,1090.5482942338494
KGRJR02,0,679.8834636943833
KGRJR05,0,574.7781806716004
KGRJR06,0,828.7213063496354
KGRJR07,3,437.0495993749555
KGRJR08,0,658.2280633587601
KGSDR01,3,912.7045732111919
KGSDR02,1,177.81452338208953
KGSDR03,1,431.4896049293311
KGSDR04,1,553.110864663439
KGSDR06,3,807.0979438962012
KGSDR07,1,376.7655573343196
KGSDR08,1,346.1416003989952
KGSDR09,1,180.06249678579468
KGSDR10,3,637.3733892636874
KGSDR12,1,695.3144092096888
KGSDR13,1,885.213601885806
KGSDR15,1,508.61292960644795
KGSDR17,1,647.1164623969995
KGULP01,3,470.9787301641211
KGULP02,0,329.52959069867063
KGULP03,1,435.0065593065424
KGULP04,1,252.19761414047747
KGULP07,1,224.67876877127333
KGULP08,3,453.0298631495494
KGULP09,1,220.76954394534602
KGULP10,0,333.31884558473047
LMADT01,2,584.3090435699042
LMADT02,0,554.2875122164083
LMADT04,1,603.9949305323152
LMADT06,0,919.6887238345591
LMADT07,3,788.0700066544091
LMADT08,3,763.5205746095565
LMHTB01,2,455.55122633380813
LMHTB02,1,342.78413186227874
LMHTB03,3,739.3151545345427
LMHTB05,1,205.52693236833986
LMHTB06,3,976.6846238869651
LMKLG01,3,597.5098141747003
LMKLG02,3,1148.9940318766996
LMKLG05,0,1016.6175974878356
LMKLG06,3,986.1118704668012
LMKLG07,3,803.3084686648729
LMKLG09,3,438.98262750604846
LMKLG10,0,433.7776128931009
LMPTG01,2,734.3804968855864
LMPTG02,1,235.92214967477608
LMPTG03,0,342.91277666872895
LMPTG04,1,379.7701132621804
LMPTG06,3,438.4598306050791
LMSDR01,3,1228.8563073257365
LMSDR02,0,912.0530616058403
LMSDR03,0,524.8656811264607
LMSDR04,1,327.1409620183735
LMSDR05,2,904.0250705074176
LMSDR06,1,266.92116018814573
LMSDR07,1,231.47965355578668
LMSDR09,1,197.93889708029656
LMSDR10,1,603.1075087877674
LMSDR11,1,455.4385129900855
LMSDR12,1,193.9187644787678
LMSDR13,3,973.07819666591
LMSDR14,0,682.4605764077925
LMSDR17,0,461.1627121498105
LMSDR19,1,391.37791478829007
LMSDR21,0,629.2873140605953
LMSDR22,1,446.7060485512463
LMSDR23,1,187.05548293119304
NPDML01,1,265.91662549199333
NPDML02,1,408.839682665068
NPDML03,0,718.7801246030344
NPDML05,1,194.16324784024994
NPDML06,0,654.4459887570911
NPDML07,1,950.742705172404
NPDMR01,1,206.12251080106319
NPDMR02,1,370.51373942309533
NPDMR03,1,824.88644547593
NPDMR04,1,268.1599111287579
NPDMR06,1,419.38154729632237
NPDMR07,1,546.0611690120958
NPJLD01,1,232.50468037226736
NPJLD02,3,762.392484163866
NPJLD03,1,229.23728485813717
NPJLD04,0,949.5584394961278
NPJLD06,1,184.73268613639945
NPJLD07,1,330.70104102261723
NPJLD09,1,184.55806665215624
NPJLD10,1,343.6943567418381
NPJLD12,1,796.023249079208
NPJLD13,1,788.6558771574654
NPJLD14,1,978.420313603851
NPJLD15,1,786.0643155019834
NPKSG01,2,1090.1512384726393
NPKSG02,1,362.274589400911
NPKSG03,1,190.56100993118403
NPKSG04,1,639.3064923791619
NPKSG05,1,175.9917491328844
NPKSG06,1,264.05001728451373
NPKSG07,1,455.85853433923546
NPSDP01,3,1089.99233945824
NPSDP02,2,476.37231734757165
NPSDP03,1,133.45127896341828
NPSDP04,2,453.91332941264795
NPSDP05,0,377.35098980109404
NPSDP10,3,622.5127465831463
NPSDP11,1,387.3129821608191
NPSDP12,1,442.0162990355116
NPSDP14,1,236.83482868312464
NPSDP16,1,121.45688494159381
NPSDR01,3,549.5524845794195
NPSDR02,0,439.8153352523561
NPSDR03,2,511.2198308759858
NPSDR07,1,172.58563596907712
NPSDR08,1,482.2675021547886
NPSDR09,1,114.80532550550728
NPSDR10,1,269.42303234968796
NPSDR11,0,922.4375723626398
NPSDR12,3,1110.4552125855894
NPSDR13,1,571.5617726031786
NPSDR14,0,531.1340599339615
NPSDR15,1,372.74950641556865
NPSDR16,1,357.7885893966708
NPSDR17,1,335.32139499951893
NPSDR18,0,711.697213359632
NPSDR22,1,708.6271809885625
NPSDR23,1,273.3803047571776
NPSDR24,1,182.9929831294601
NPSDR25,1,469.9329068721245
NPSDR26,1,292.47290757002474
PGATR01,1,156.34296782002363
PGATR04,1,198.69776651326802
PGATR05,1,244.20784388510802
PGATR06,1,265.9466889503204
PGATR07,1,147.21079800719923
PGBDA01,0,559.3561895998185
PGBDA02,1,365.38474201875357
PGBDA03,1,533.0972787890277
PGBDA06,1,148.4360981481417
PGBDA07,1,401.10600597391186
PGDBG01,0,733.7859478423185
PGDBG02,1,172.85861173540164
PGDBG03,1,300.9700507276642
PGDBG08,1,183.10645680702018
PGSDR01,2,322.0145153846477
PGSDR02,0,549.3063416383529
PGSDR03,3,1085.217124902612
PGSDR06,1,139.68717815775926
PGSDR07,2,336.69248068785686
PGSDR08,1,213.2944061245682
PGSDR09,1,825.6820782711403
PGSDR11,1,183.92065041514417
PGSDR12,1,240.2350286276268
PGSDR14,2,382.3679752292831
PGSDR21,0,290.09669395293724
PGTTL01,3,559.9786466094007
PGTTL02,0,752.9882255477247
PGTTL03,3,422.197652057865
PGTTL04,0,731.5786680559163
PGTTL07,1,214.65972561541778
RPBDG01,2,978.5960144585882
RPBDG02,1,410.2357213064206
RPBDG03,2,640.9159663208825
RPBDG06,1,579.1735237910156
RPBDG07,1,179.57742309762202
RPBDG08,1,202.90692776398146
RPBDG10,3,710.3162481921252
RPBDG11,1,621.0051575761569
RPGNG01,1,244.4961456557182
RPGNG02,1,293.99002802434353
RPGNG03,0,908.9630206444249
RPGNG05,1,535.2579836985603
RPGNG06,1,271.9447653658972
RPGNG07,1,137.13755247537253
RPGNG09,1,515.1043419546206
RPKAU01,0,565.1911965248304
RPKAU02,2,1236.3566850620277
RPKAU03,0,739.2916057583991
RPKAU04,0,606.3672116588698
RPKAU06,1,697.6917795611257
RPKAU07,3,668.1755392580352
RPKAU08,1,339.1915965329011
RPKAU09,0,809.5250808234271
RPKAU10,3,1402.002894037812
RPMTH02,2,501.7233799632546
RPMTH03,0,735.7211953637582
RPMTH05,3,888.3411586191381
RPMTH07,0,357.1439095658936
RPMTH08,0,414.75451906760145
RPMTH13,0,654.3747085220028
RPMTH14,0,449.01395180407314
RPMTH15,0,547.2498708979648
RPMTH16,0,499.304740097051
RPMTH17,3,1134.0986260551615
RPMTH19,0,889.9425065843012
RPMTH20,0,711.7793071771259
RPMTH21,0,991.9804487417044
RPMTH24,3,802.3703223090373
RPMTH25,2,1212.6384843912606
RPMTH26,1,758.5389519240201
RPMTH28,2,838.5039412807866
RPMTH31,0,498.83975373608166
RPPBT01,2,624.2245686831002
RPPBT02,2,1082.098396539534
RPPBT04,3,778.5356877449824
RPPBT07,0,762.9310749942033
RPPBT09,0,277.76741597054524
RPPBT11,0,667.6204778961444
RPPBT12,0,846.8665615762117
RPPBT13,0,702.8927835430367
RPPBT14,2,988.187125937404
RPPBT15,0,816.9565189091792
RPPBT16,1,315.1574385058983
RPPGC17,0,618.7206680901653
RPPGC18,0,518.8363536895637
RPPGC19,0,468.7045778901499
RPPGC22,1,495.43297376955746
RPPGC23,0,530.4043253939742
RPPGN02,2,707.7527118293228
RPPGN03,1,502.6683137333014
RPPGN04,0,403.94567558713356
RPPGN05,0,336.48588495648914
RPPGN06,0,322.0868198157839
RPPGN07,0,526.8950749645812
RPPGN10,0,639.7481700404724
RPPGN11,0,464.7557049679446
RPPGN12,0,653.9387580350973
RPPGN13,0,445.2229901797416
RPPGN14,0,589.0529668967748
RPPGN16,0,371.1561155642337
RPPGN19,0,405.70377231291127
RPPGN20,0,716.7355623973682
RPPGN21,1,814.0591438209763
RPPGN22,1,562.5150084921589
RPPGN24,1,656.7209123529378
RPSDR01,3,512.4497957464918
RPSDR03,0,746.6949811792806
RPSDR04,3,1159.0389544235643
RPSDR05,0,701.2358910765938
RPSDR06,0,558.8667765609478
RPSDR07,0,479.1629828276593
RPSDR08,2,339.81371373033835
RPSDR10,3,393.43650236685016
RPSDR11,3,765.9570835437544
RPSDR12,0,971.5030086710447
RPSDR13,3,790.4686856091856
RPSDR14,3,536.1340963560481
RPSDR15,3,529.3113164301603
RPSDR17,3,628.0632182276019
RPSDR22,2,887.5759927616072
RPSDR23,1,658.6583636064573
RPSDR24,1,267.32589792476773
RPSDR25,2,928.5606184718202
RPSDR26,2,367.75619020068353
RPSDR28,0,1043.3683305151374
RPSDR30,0,347.4711388365141
RPSDR32,3,688.4102990184417
RPSDR34,1,612.9452239158754
RPSDR35,2,1111.5913188259651
RPSDR36,0,514.0070826831524
RPSDR37,2,930.8545071765534
RPSDR38,2,560.7256648992956
RPSDR39,3,531.3686530814978
RPSDR40,1,534.1060441520176
RPSDR41,1,566.2272573647912
RPSDR42,0,893.7794389787754
RPSDR46,3,1102.5062044573792
RPSDR47,3,945.9126581946977
RPSDR48,3,448.50204133050255
RPSDR49,1,411.9753203665127
RPSDR50,3,1330.9776299721027
RPSDR51,1,365.73966551991504
RPSDR52,3,675.6714679274755
RPSDR53,3,599.0756829509761
RPSDR54,3,640.1964258069073
RPSDR55,3,762.53372958463
RPSDR56,3,623.3275908303943
RPSDR57,3,574.7253944914736
RPSDR58,1,363.2705943094105
RPSDR59,1,330.5207654176454
RPSDR60,3,350.87107756753
RPSDR62,2,1049.1108322833709
RPSDR63,3,653.3153227625838
RPSDR65,2,320.22809753635437
RPSDR71,0,715.5166677036256
RPSDR75,2,639.0065253201717
RPSDR77,1,132.37078401556008
RPSDR79,3,1371.3959835692963
RPSDR81,0,697.7646955420119
RPSDR82,3,474.9938175801218
RPSDR83,3,712.4971939466903
RPSDR85,1,359.2406420101615
RPSDR86,0,664.0197597783925
RPSDR87,1,566.4480672443107
RPSDR89,1,570.463979648995
RPSDR90,3,386.3405747014318
RPSDR93,0,364.45016079053175
RPSDR94,0,463.1570593641084
RPSDR95,0,381.2434697417537
RPSDR97,0,410.33176003010055
RPSDR98,0,449.8432807170458
RPSDRA0,0,481.5948006929329
RPSDRA5,1,235.37519196270438
RPTRG03,1,438.2929008378055
RPTRG04,0,293.3056151788292
RPTRG05,1,398.9967606671219
RPTRG06,3,1413.3345131137512
RPTRG07,1,171.4095006739292
TGBLD01,0,643.1544734833918
TGBLD04,1,579.5864420021035
TGBLD06,0,857.0125868571466
TGBLD20,0,519.1921832656113
TGHRP01,0,765.9837242680952
TGHRP04,1,382.6205391385789
TGHRP05,3,596.6008921782407
TGPGN02,1,627.1841480090461
TGPGN03,0,883.4689588387168
TGPGN04,0,638.5036493883049
TGPGN06,2,1476.0888165244005
TGPGN07,0,658.0895285269918
TGRSN01,2,556.9652766384044
TGRSN02,3,494.8608746297754
TGRSN03,1,350.01807322148437
TGRSN05,0,570.3065420774985
TGRSN07,0,480.2108116813576
TGSDR01,3,533.5128926765727
TGSDR02,0,708.6212438115042
TGSDR04,3,363.29406086323263
TGSDR05,1,164.0861629697855
TGSDR06,1,466.53527808910246
TGSDR07,1,249.7808407904731
TGSDR09,0,316.0992421792123
TGSDR10,1,214.44248711691958
TGSDR12,1,474.4214969971872
TGSDR16,1,439.29710950664446
TGSDR17,1,181.33871291934443
TGSDR18,1,341.96046194069993
TGSDR21,1,665.0744745415932
TGSDR22,1,180.09567419033854
TGSDR23,1,204.28536086762023
TGSDR24,1,627.8478527182009
TGSDR26,1,197.4467037955158
TGSDR29,1,218.09685343027493
TGSDR34,1,1170.7868861553936
TGSDR35,1,1010.2229013454681
