Row Labels,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct
DPSDR19,149.75,138.91,169.96,164.24,166.2,160.56,156.4,162.39,162.83,162.33,160.13,160.73,161,161.4,167.03,156.65,162.04,162.81,163.74,174.26,166.88,117.87,147.52,168.05,159.89,159.72,160.88,162.86,157.53,162.43,176,167.17,167.74,166.11,172.16,170.93,162.34,166.01,168.4,162.79,169.51,164.76,155.22,163.42,162.91,164.43,167.98,164.34,163.44,178.3,184.71,183.99,190.16,182.5,183.35,177.09,183.25,184.34,195.83,176.11,180.49,176.4,173,177.41,185.13,191.98,172.85,172.41,171.35,176.09,173.68,164.26,163.15,160.95,172.38,178.01,165.68,171.63,171.53,168.35,160.97,171.49,218.89,317.33,301.15,287.33,298.49,302.38,299.84,348.41,329.83,344.64,324.76,332.78,349.18,318.07,294.99,307.35,312.58,338.35,319.37,258.48,328.62,305.32,323.3,312.49,332.95,305.3,338.73,318.79,344.37,332.56,350.93,319.31,336.3,321.67,322.51,323.43,318.45,353.7,359.08,320.58,325.47,301.29,313.85,283.63,290.54,324.96,327.21,304.44,327.15,362.61,339.43,323.5,354.88,217.82
DPSDR20,125.58,111.42,129.46,134.55,142.1,136.5,130.87,147.87,150,150.46,149.17,151.96,149.58,142.25,136.21,154.31,145.6,123.04,141.83,115.06,142.62,145.6,148.49,158.61,155.61,148.77,145.4,130.47,161.31,164.47,167.68,155.43,157.31,151.27,155.47,156.4,157.44,141.79,159.08,164.19,160.88,154.25,141.76,154.8,146.5,149.38,155.28,131.82,151.36,156.37,163.25,163.63,164.24,155.5,160.79,161.79,160.7,163.01,168.69,150.82,162.39,155.5,166.64,158.25,180.35,177.21,146.99,133.82,143.06,146.1,147.65,142.88,145.87,149.74,154.07,153.66,144.7,151.62,144.29,139.82,146.61,147.88,143.95,147.6,143.86,151.33,157.69,159.86,148.21,148.19,168.16,155.02,150.76,168.53,160.39,152.34,145.23,145.08,145.3,143.19,138.97,113.97,141.86,150.04,152.1,157.03,158.42,159.46,166.6,153.44,162.29,154.85,159.35,145.16,153.62,164.75,157.07,166.81,165.2,165.21,160.21,167.72,171.61,167.01,249.56,264.48,258.59,233.16,254.59,244.6,267.61,286.69,290.37,291.1,314.78,182.51
DPSDR21,238.23,219.99,262.95,253.96,281.17,301.81,272.19,308.61,280.63,282.44,266.89,274.13,265.66,260.31,300.62,270.13,280.26,258.29,277.32,262.01,259.55,273.07,268.09,259.92,254.57,269.75,251.47,250.95,264.17,257.12,258,265.98,256.14,277.06,253.84,254.46,264.82,249.66,246.38,248.46,243.64,257.03,265.01,260.94,247.05,243.63,255.03,258.63,222.42,207.52,187.54,179.38,204.46,226.98,239.44,261.32,243.78,266.64,291.05,251.27,291.63,305.51,278.51,327.66,336.25,316.36,285.85,274.76,285.09,334.02,326.94,319.24,339.94,331.28,342.11,333.06,312.6,319.13,310.12,332.69,321.64,319.62,325.56,328.86,321.96,330.32,329.39,331.29,299.7,301.46,312.39,312.76,305.43,308.4,329.67,326.4,313.27,323.74,324.92,322.21,311.78,248.94,298.13,294.88,284.22,284.31,298.3,303.55,302.77,298.53,316.8,289.83,301.95,295.18,289.71,305.07,268.86,290.3,291.26,310.06,303.44,291.2,314.29,304.69,332.31,305.79,323.82,280.96,280.25,211.31,309.95,328.05,326.16,300.73,226.67,144.19
DPSDR22,165.28,134.68,177.47,180.87,177.51,180.9,168.94,198.15,179.29,188.16,184.78,188.28,188.59,182.08,179.23,179.45,181.91,181.78,189,185.3,188.52,163.3,182.44,191.05,191.42,182.98,191.82,204.05,202.88,201.99,207.39,196.85,187.22,187.2,188.7,191.57,193.04,201.84,202.53,191.85,199.71,191.21,186.47,205.82,185.62,190.54,194.63,178.25,184.43,184.35,201.43,213.37,208.92,208.04,217.59,205.59,201.81,198.31,202.22,202.11,199.68,193.65,194.33,193.02,208.87,199.41,175.11,186.87,175.59,189.9,186.9,184.12,184.94,332.66,308.51,324.92,299.72,309.41,272.03,290.53,296.71,296.46,296.75,367.27,340.81,391.06,362.79,363.18,357.1,339,368.44,369.42,374.96,370.46,391.55,365.79,372.73,366.61,381.68,350.87,377.84,332.59,345.71,361.79,379.1,365.78,367.94,352.49,365.43,352.21,350.93,352.61,313.41,325.92,328.38,358.41,335.57,334.13,336.63,393.28,394.83,423.4,412.85,385.49,407.28,422.73,379.92,301.13,357.23,333.82,339.67,358.37,354.5,407.71,462.86,231.22
DPSDR26,140.04,132.29,155.92,153.63,158.74,155.24,150.84,157.42,159.13,159.79,167.16,156.71,157.07,148.89,161.39,156.2,152.43,155.7,150.38,161.03,159.39,159.92,159.94,147.54,152.12,155.57,149.15,153.26,169.4,156.23,161.53,162.54,169.69,151.61,155.1,168.78,161.12,153.89,149.4,158.78,175.81,140,153.05,155.51,155.76,154.1,158.46,155.49,141.37,138.89,148.49,140.41,144.27,142.8,143.77,154.74,148.92,156.14,149.86,148.34,148.35,149.92,164.2,157.86,163.02,168.17,166.01,148.83,161.02,161.79,162.21,164.3,164.2,155.83,146.4,159.64,159.78,165.74,164.33,159.63,169.87,176.08,164.46,156.81,147.51,157.05,170.34,158.15,147.2,156.25,145.08,141.66,151.8,152.25,169.88,165.09,162.41,156.18,148.3,149.53,149.38,116.58,141.34,145.13,152.21,157.45,158.76,156.87,165.42,157.57,159.48,154.16,176.53,147.88,147.44,156.69,151.46,151.71,147.22,153.3,154.49,152.32,155.08,151.31,170.48,110.72,231.69,324.01,345.22,325.91,334.52,365.91,329.66,315.47,298.05,177.51
DPSDR27,188.94,166.75,143.23,130.06,129.58,137.1,134.46,140.81,135.89,140.04,136.99,141.34,137.66,132.08,154.39,126.61,130.57,133.35,129.26,132.96,134.25,137.5,140.73,132.04,125.43,134.13,124.65,131.53,130.45,136.07,140.8,146.11,134.16,134.66,134.05,135.13,137.94,135.62,130.37,136.76,139.1,142.26,131,131.11,133.13,128.86,138.7,143.95,135.63,143.65,135.14,131.94,139.76,130.73,143.86,136.69,134.5,138.61,137.09,130.59,132.21,143.57,141.25,150.02,152.6,142.17,140.82,141.42,110.96,289,480.08,461.81,458.36,491.57,458.88,464.49,464.97,481.73,451.37,413,442.18,434.46,424.79,437.17,409.09,437.79,463.49,484.75,457.25,456.43,476.35,448.76,454.91,497.22,496.63,470.54,484.49,438.51,449.84,471.76,425,359.12,430.89,469,455.7,459.55,468.78,503.56,562.38,472.76,454.79,441.18,451.34,431.49,432.1,481.34,453.19,423.4,452.44,464.25,431.05,435.99,495.34,457.95,469.12,453.83,460.75,461.72,524.04,483.47,471.68,468.59,452.85,482.68,494.42,318.22
DPSDR28,354.94,358.86,427.64,439.78,457.24,435.96,393.6,447.44,422.15,395.79,448.78,459.04,403.37,442.53,436.27,406.39,427.11,445.51,426.66,387.66,345.69,483.92,395.06,311.66,491.44,459.44,477.83,428.21,464.91,454.93,499.77,485.23,490.6,489.15,476.67,484.99,486.7,470.14,450.65,462.89,502.7,484.81,479.1,459.62,473.82,456.01,485.81,460.2,435.66,418.21,411.85,421.95,468.8,473.25,492.75,489.29,481.74,509.9,487.53,460.94,479.22,487.43,489.4,485.37,453.18,439.41,495.18,246.6,468.23,442.21,468.69,445.54,411.29,483.54,452.65,455.27,426.56,300.23,445.65,410.94,465.92,469.71,441.68,464.23,417.14,464.62,456.78,455.13,426.85,429.81,435.14,445.09,442.93,447.56,480.31,440.41,489.91,448.48,463.23,429.18,442.51,433.5,467.9,454.16,432.62,431.93,441,433.07,474.26,434.65,429.99,409.6,429.13,396.9,418.94,459.87,417.54,409.81,421.45,465.89,432.25,384.42,461.9,442.26,427.04,454.9,455.95,454.69,484.51,440.88,472.27,440.14,319.23,445.4,457.25,255.88
DPSDR29,154.8,150.37,167.81,149.77,147.58,162.3,154.2,172.55,154.31,155.69,144.76,154.98,158.3,155.89,152.34,145.16,157.33,138.34,148.58,155.27,155.56,156.06,161.51,148.21,152.72,152.33,156.24,156.93,149.38,147.63,153.7,147.4,157.67,157.94,149.49,148.24,146.27,143.03,138.52,143.49,158.77,149.04,140.54,144.28,148.87,145.86,143.86,143.65,146.23,148.8,115.63,132.04,135.56,142.96,143.37,147.38,150.72,143.3,149.43,148.63,155.63,158.23,158.3,160.91,150.57,155.36,142.04,149.45,150,154.83,165.84,161.08,150.09,149.36,146.83,155.32,158.23,158.82,157.23,155.63,142.39,148.58,166.91,163.06,153.79,156.5,153.65,151.65,137.16,158.81,152.73,150.34,152.44,153.64,149.4,149.02,157.74,164.91,156.17,158.72,158.92,101.03,139.8,148.34,158.52,152.46,158.65,162.18,147.28,164.94,156.15,162.15,159.1,160.28,157.79,155.22,154.3,149.46,156.19,164.29,164.94,165.59,155.6,163.79,171.88,189.22,168.29,171.63,166.11,191.01,183.91,179.37,190.83,144.15,329.68,186.49
DPSDR30,371.05,367.72,387.75,407.76,367.66,426.58,383.75,456.42,405.75,402.47,458.55,454.45,387.8,403.04,450.04,417.8,396.74,409.02,423.39,343.85,424.76,437.64,405.43,417.87,429.17,433.45,432.46,345.1,337.4,407.31,476.4,437.09,457.04,454.29,223.66,431.64,426.33,441.28,401.53,404.51,457.81,415.15,389.45,393.64,366.78,405.96,426.79,406.4,366.55,395.19,383.45,393.27,434.64,426.58,427.71,438.6,445.94,441.76,430.07,450.31,412.18,434.34,427,415,474.22,430,394.63,376.78,414.21,446.61,429.09,419.45,426.21,449,426.68,412.19,395.99,398.35,414.43,399.96,433.53,394.34,374.46,387.74,372.53,384.7,393.26,421.63,394.78,403.97,427.84,414.58,418.41,417.52,439.89,404.1,417.77,415.8,412.71,392.32,348.05,288.13,342.46,366.38,357.57,397.89,298.02,365.4,415.16,408.26,395.92,304.26,322.81,404.5,399.07,426.26,390.04,383.61,437.11,463.58,439.77,409.88,436.46,448.72,378.29,424.22,409.09,392.52,433.06,372.45,401.44,350.21,369.48,360.12,385.38,251.45
DPSDR32,103.05,96.57,120.49,135.3,128.27,127.82,123.73,132.13,128.43,132.99,130.72,134.23,136.12,129.4,132.62,112.47,110.87,105.94,110.44,121.54,128.43,116.12,115.95,122.13,115.19,118.58,113.2,115.66,111.96,98.41,110.72,102.62,102.21,99.22,108.81,104.12,100.1,107.43,110.34,129.3,131.81,105.55,105.71,103.61,95.24,109.46,101.06,97.02,79.05,81.93,68.27,80.11,87.3,96.11,88.96,97.36,90.7,102.65,92.98,105.94,109.12,121.09,104.73,125.11,115.78,112.16,114.53,100.79,100.09,108.48,112.24,111.99,117.14,121.35,111.62,120.92,125.99,126.15,126.59,131.3,123.3,117.5,123.79,129.46,112.12,123.03,125.21,122.45,117.66,131.79,133.18,137.2,133.28,122.72,132.15,123.12,119.8,123.74,127.39,112.12,111.08,125.01,112.79,132.26,131.02,129.07,140.07,142.29,149.77,149.27,141.49,140.77,146.68,131.28,133.04,148.5,145.8,142.9,139.25,133.5,138.01,133.6,143.08,139.05,147.32,154.15,128.5,123.85,128.47,122.61,130.69,132.37,111.42,115.89,112.74,65.42
